inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,61.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.4,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.2,inf,inf,inf,155,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,10.7,inf,inf,inf,inf,155,inf,inf,inf,inf,inf,194,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,10.7,inf,inf,inf,inf,inf,inf,9.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,150,inf,inf,inf,inf,inf,inf,inf,inf,239,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22,inf,inf,7.2,inf,inf
inf,inf,inf,inf,inf,inf,inf,287,321,inf,inf,inf,inf,inf,inf,inf,201,inf,inf,inf,inf,207,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,287,inf,inf,inf,inf,inf,inf,inf,inf,19.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,155,inf,inf,inf,321,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,199,160,inf,inf,inf,inf,172,inf,inf
inf,inf,inf,9.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,237,inf,inf,inf,inf,inf,inf,inf,114,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,81,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,46,inf
61.6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35.7,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,165,8.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,39.8
inf,11.2,inf,inf,150,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,266,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,194,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,140,300,inf,170,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,19.3,inf,inf,81,inf,165,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,201,inf,inf,inf,inf,inf,8.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,155,inf,inf,inf,inf,inf,inf,inf,237,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.6,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,134,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,266,140,inf,inf,inf,inf,inf,inf,inf,217,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,199,inf,inf,inf,inf,inf,300,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,207,inf,160,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,36.4,inf,inf
inf,inf,inf,inf,239,inf,inf,inf,inf,inf,inf,inf,inf,inf,170,inf,inf,11.6,inf,217,inf,inf,inf,inf,inf,inf,inf,inf,inf
8.4,inf,inf,inf,inf,22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,28.4,inf,69.8
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,113,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,114,inf,35.7,inf,inf,inf,inf,inf,inf,134,inf,inf,inf,inf,inf,113,inf,inf,inf,inf
inf,inf,inf,inf,inf,7.2,inf,inf,172,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,36.4,inf,28.4,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,46,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,39.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,69.8,inf,inf,inf,inf,inf
