solution,tcost,plcost
POS1,242931980,29307380
POS2,244873190,28918467
POS3,246817750,28529555
POS4,248762310,28140642
POS5,251363620,27751729
POS6,254661740,27362817
POS7,258064730,26973904
POS8,261467710,26584992
POS9,264870700,26196079
POS10,269398740,25807166
POS11,275176100,25418254
POS12,284099300,25029341
POS13,295791890,24640428
POS14,307963080,24251516
POS15,327379520,23862603
POS16,351146400,23473691
POS17,374913290,23084778
POS18,399458960,22695865
POS19,436392880,22306953
POS20,556664880,21918040
