Source,Barauni,Raxaul,Siliguri,Baitalpur,Gonda,Banthara,Mughalsarai,Product
fy1m1,21576000,32617000,3429000,7928000,6700000,2116000,,diesel
fy1m2,17660000,38434000,3445000,11372000,7644000,2952000,,diesel
fy1m3,18616000,31810000,3208000,10300000,8840000,4272000,640000,diesel
fy1m4,21116000,37325000,4461000,12728000,10652000,5164000,540000,diesel
fy1m5,31612000,43435000,5910000,15828000,12696000,6948000,580000,diesel
fy1m6,31864000,42739000,5311000,12020000,12884000,6252000,3120000,diesel
fy1m7,28904000,42403000,5742000,13440000,12396000,5000000,380000,diesel
fy1m8,30868000,49272000,7018000,14468000,12688000,5488000,1780000,diesel
fy1m9,43548000,53373000,7128000,18324000,14744000,7124000,2880000,diesel
fy1m10,38776000,45358000,6010000,15680000,13744000,6376000,2440000,diesel
fy1m11,44720000,45897000,6168000,15716000,15520000,7216000,2100000,diesel
fy1m12,43620000,39098000,5770000,11680000,12992000,5120000,2160000,diesel
fy2m1,37232000,34774000,5626000,11364000,7700000,3148000,1840000,diesel
fy2m2,26128000,33704000,4174000,9672000,8516000,3400000,2000000,diesel
fy2m3,26140000,32782000,4619000,11884000,11168000,5960000,2380000,diesel
fy2m4,35180000,39263000,5103000,14252000,12480000,7500000,1860000,diesel
fy2m5,45584000,39778000,5942000,15080000,13860000,6688000,3100000,diesel
fy2m6,51280000,43398000,6751000,16548000,14616000,6996000,3240000,diesel
fy2m7,50644000,44463000,7268000,18452000,14696000,6428000,2420000,diesel
fy2m8,49144000,45146000,7316000,17120000,14444000,6716000,2760000,diesel
fy2m9,46248000,50745000,7776000,20708000,15652000,8196000,2860000,diesel
fy2m10,53084000,48428000,7160000,17412000,16480000,8160000,2640000,diesel
fy2m11,55896000,48852000,8166000,19960000,18452000,8588000,4620000,diesel
fy2m12,59776000,45572000,7647000,18688000,15572000,7684000,4120000,diesel
fy3m1,42120000,38344000,5312000,11972000,9636000,3308000,3200000,diesel
fy3m2,30724000,43152000,4677000,11492000,9352000,3688000,2640000,diesel
fy3m3,40716000,40428000,5300000,13624000,12376000,6384000,4556000,diesel
fy3m4,34760000,38412000,5008000,14164000,12428000,6284000,4640000,diesel
fy3m5,45928000,45308000,6812000,14804000,14428000,7384000,4760000,diesel
fy3m6,52012000,50692000,7536000,14800000,14484000,7880000,4940000,diesel
fy3m7,47808000,48812000,7072000,13860000,12640000,6128000,4060000,diesel
fy3m8,51560000,51456000,7500000,15808000,14272000,7004000,3200000,diesel
fy3m9,49556000,50204000,7896000,19632000,15780000,8768000,2640000,diesel
fy3m10,52496000,53920000,8752000,20480000,16536000,8832000,2960000,diesel
fy3m11,62672000,57596000,8748000,21716000,18680000,9252000,4240000,diesel
fy3m12,56360000,55916000,10132000,20668000,15464000,9536000,3840000,diesel
fy4m1,38004000,38532000,6560000,12900000,9732000,4408000,2200000,diesel
fy4m2,31916000,43080000,7380000,12604000,9436000,4220000,1960000,diesel
fy4m3,9328000,32392000,6244000,9992000,11052000,5496000,1100000,diesel
fy4m4,260000,35144000,7756000,3140000,13320000,7712000,,diesel
fy4m5,6664000,43784000,10592000,7200000,15744000,8776000,,diesel
fy4m6,11240000,52824000,9968000,14064000,14672000,7604000,,diesel
fy1m1,9352000,10659000,2272000,3196000,2168000,868000,,petrol
fy1m2,16348000,5422000,2216000,4464000,3888000,1000000,,petrol
fy1m3,13856000,8316000,2409000,3924000,1976000,1144000,,petrol
fy1m4,14140000,10385000,2273000,3152000,2288000,1112000,,petrol
fy1m5,13192000,11164000,2357000,2624000,2804000,1140000,,petrol
fy1m6,11916000,10324000,2069000,2584000,2124000,1080000,,petrol
fy1m7,12312000,10056000,2612000,3300000,1872000,1076000,,petrol
fy1m8,12088000,13361000,2710000,3896000,2680000,1108000,,petrol
fy1m9,13464000,12327000,3264000,4056000,2232000,1380000,,petrol
fy1m10,14040000,12350000,3586000,3884000,3224000,1300000,240000,petrol
fy1m11,11372000,13111000,3945000,3716000,2504000,1404000,60000,petrol
fy1m12,14740000,13161000,3277000,3432000,2752000,1172000,,petrol
fy2m1,15368000,12322000,3433000,3476000,2280000,1280000,,petrol
fy2m2,17336000,9905000,3346000,3284000,3872000,1192000,,petrol
fy2m3,17008000,12315000,4014000,5136000,2580000,1664000,,petrol
fy2m4,17880000,10895000,2826000,4192000,2500000,1396000,,petrol
fy2m5,15884000,10894000,2883000,3888000,2260000,1400000,,petrol
fy2m6,15740000,10714000,2711000,3532000,2000000,1216000,,petrol
fy2m7,15240000,12113000,2699000,3652000,2220000,1320000,,petrol
fy2m8,15884000,13397000,3222000,4256000,2500000,1544000,,petrol
fy2m9,17616000,13081000,3036000,4644000,2532000,1540000,,petrol
fy2m10,19904000,14204000,2706000,4364000,3240000,1744000,,petrol
fy2m11,18592000,13760000,2681000,4436000,2960000,1768000,,petrol
fy2m12,18468000,15136000,2562000,4684000,2760000,1588000,,petrol
fy3m1,21788000,9396000,2755000,4316000,2480000,1428000,,petrol
fy3m2,26536000,6792000,2904000,5020000,3940000,1576000,,petrol
fy3m3,21140000,12876000,3632000,5760000,3700000,1776000,,petrol
fy3m4,17920000,14176000,3228000,5160000,3280000,1628000,,petrol
fy3m5,15668000,15872000,3040000,4272000,2620000,1644000,,petrol
fy3m6,15800000,17732000,3392000,4500000,2780000,1540000,,petrol
fy3m7,15280000,15656000,3624000,4560000,2760000,1604000,,petrol
fy3m8,18200000,15840000,3748000,4724000,2880000,1672000,,petrol
fy3m9,19236000,15660000,3864000,3248000,3220000,1760000,,petrol
fy3m10,22484000,15916000,4212000,3284000,3420000,2008000,980000,petrol
fy3m11,21316000,16308000,3652000,2916000,4152000,2056000,2000000,petrol
fy3m12,21084000,17616000,3204000,3176000,3260000,1940000,2240000,petrol
fy4m1,22104000,13728000,3136000,3304000,3420000,1896000,1920000,petrol
fy4m2,28164000,10092000,3284000,3480000,4380000,1916000,1540000,petrol
fy4m3,28308000,9876000,3272000,3108000,4220000,2120000,2060000,petrol
fy4m4,29312000,8544000,3008000,2716000,3720000,2160000,2580000,petrol
fy4m5,28580000,9608000,2884000,3072000,3760000,1924000,2100000,petrol
fy4m6,19320000,14560000,2824000,2080000,3312000,1744000,2180000,petrol
